author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/306341798/;Москва;sale;flat;4;12;2;86.1;213680000;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Москва;sale;flat;5;12;1;35.0;9500000;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Москва;sale;flat;9;12;2;88.0;59350000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Москва;sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Москва;sale;flat;4;20;2;64.29;24166611;Даниловский;Автозаводская ;26;Тульская;FORST
Игорь Гребенцов;realtor;https://www.cian.ru/sale/flat/308714801/;Москва;sale;flat;29;37;2;51.8;29000000;Очаково-Матвеевское;;к5;Аминьевская;Левел Мичуринский ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040441/;Москва;sale;flat;4;6;2;102.7;114715900;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553460/;Москва;sale;flat;9;12;2;99.0;96750000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306451958/;Москва;sale;flat;3;12;2;37.0;9500000;Западное Дегунино;Коровинское шоссе;9К1;Селигерская;
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;71281684;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306566143/;Москва;sale;flat;6;7;2;96.0;260000000;Хамовники; Льва Толстого;23к7с3;Парк Культуры;
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Москва;sale;flat;21;31;2;55.7;21990000;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
Tekta Group;developer;https://www.cian.ru/sale/flat/301259741/;Москва;sale;flat;24;42;2;43.0;21606000;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ID 10601;realtor;https://www.cian.ru/sale/flat/307801822/;Москва;sale;flat;5;5;2;42.3;28300000;Тверской;Тверская ;27С1;Маяковская;
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Москва;sale;flat;6;14;1;40.0;13700000;Перово;Мартеновская ;11/12;Новогиреево;
VESPER;developer;https://www.cian.ru/sale/flat/308803465/;Москва;sale;flat;1;6;2;173.3;363930000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва;sale;flat;8;29;2;69.1;31095000;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Москва;sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Главстрой;developer;https://www.cian.ru/sale/flat/306076580/;Москва;sale;flat;4;22;2;67.1;28625560;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Москва;sale;flat;16;41;2;51.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539730/;Москва;sale;flat;2;6;2;63.0;35990000;Басманный;Чистопрудный бульвар;12К2;Чистые пруды;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080996/;Москва;sale;flat;2;6;2;71.56;131670400;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Залму Писарук;realtor;https://www.cian.ru/sale/flat/308532820/;Москва;sale;flat;7;12;2;55.0;13400000;Бирюлево Восточное;Лебедянская ;4;;
Среда;developer;https://www.cian.ru/sale/flat/304753839/;Москва;sale;flat;12;30;2;56.31;21423871;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
