author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Дипломат;developer;https://krym.cian.ru/sale/flat/292125018/;Московская область;sale;flat;2;8;2;66.0;22622160;;;;;Резиденция Дипломат
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Московская область;sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308552017/;Московская область;sale;flat;5;12;1;35.0;9500000;Богородское;1-я Гражданская ;99К1;Преображенская площадь;
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/308884460/;Московская область;sale;flat;2;20;2;46.3;18983000;;;;;Новая Ливадия
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Московская область;sale;flat;9;12;2;88.0;59350000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Sminex;developer;https://www.cian.ru/sale/flat/306341798/;Московская область;sale;flat;4;12;2;86.1;213680000;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Московская область;sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Московская область;sale;flat;4;20;2;64.29;24166611;Даниловский;Автозаводская ;26;Тульская;FORST
Солнечный Сочи;real_estate_agent;https://sochi.cian.ru/sale/flat/308303850/;Московская область;sale;flat;24;26;2;105.0;8000000;Хостинский;Курортный проспект;105;;
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Московская область;sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553460/;Московская область;sale;flat;9;12;2;99.0;96750000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Московская область;sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302445049/;Московская область;sale;flat;2;10;2;33.0;31491900;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306566143/;Московская область;sale;flat;6;7;2;96.0;260000000;Хамовники; Льва Толстого;23к7с3;Парк Культуры;
Игорь Гребенцов;realtor;https://www.cian.ru/sale/flat/308714801/;Московская область;sale;flat;29;37;2;51.8;29000000;Очаково-Матвеевское;;к5;Аминьевская;Левел Мичуринский ЖК
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Московская область;sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ID 10601;realtor;https://www.cian.ru/sale/flat/307801822/;Московская область;sale;flat;5;5;2;42.3;28300000;Тверской;Тверская ;27С1;Маяковская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/306451958/;Московская область;sale;flat;3;12;2;37.0;9500000;Западное Дегунино;Коровинское шоссе;9К1;Селигерская;
Интеллект;developer;https://krym.cian.ru/sale/flat/306043753/;Московская область;sale;flat;5;13;2;36.33;12249111;;;;;Парковая Резиденция
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Московская область;sale;flat;8;29;2;69.1;31095000;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Московская область;sale;flat;21;31;2;55.7;21990000;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540476/;Московская область;sale;flat;2;16;2;64.3;6751500;Прикубанский; Западный обход;65/1;;Cармат
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Московская область;sale;flat;16;41;2;51.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Московская область;sale;flat;6;14;1;40.0;13700000;Перово;Мартеновская ;11/12;Новогиреево;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Московская область;sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Московская область;sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/303023571/;Московская область;sale;flat;4;5;1;30.3;3899000;;шоссе Энтузиастов;57;Салтыковская;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Московская область;sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат
