author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308287335/;Московская область;sale;flat;3;5;2;43.4;6900000;Томилино рп; Гаршина;20А;;
Атмосфера;developer;https://kemerovo.cian.ru/sale/flat/303572394/;Московская область;sale;flat;12;15;2;46.5;6975000;Рудничный;;;;Чемпион-парк ЖК
БАРС Лизинг;real_estate_agent;https://balashikha.cian.ru/sale/flat/296594731/;Московская область;sale;flat;13;24;1;41.4;7100000;; Разина;1А;Салтыковская;28 микрорайон
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308566835/;Московская область;sale;flat;9;17;1;50.0;7300000;Октябрьский рп; Спортивная;1;;Квадро
Мир Недвижимости;real_estate_agent;https://dmitrov.cian.ru/sale/flat/296193586/;Московская область;sale;flat;1;12;2;54.5;7400000;Дмитров;Московская ;21;;
МИЭЛЬ Офис Пречистенка;real_estate_agent;https://www.cian.ru/sale/flat/305868556/;Московская область;sale;flat;4;8;1;40.5;9400000;;;5/2;Кедровая;Новые Ватутинки, мкр. Заречный
Отрада Вилладж;representative_developer;https://krasnogorsk.cian.ru/sale/flat/301220268/;Московская область;sale;flat;5;6;2;45.7;9446327;;;к12;Аникеевка;Никольский Квартал Отрада ЖК
ID 70960362;unknown;https://mahachkala.cian.ru/sale/flat/308521477/;Московская область;sale;flat;2;3;2;35.5;9400000;с. Гуниб; Имени Николая Пирогова;;;
Колди;developer;https://www.cian.ru/sale/flat/302241111/;Московская область;sale;flat;12;21;1;38.59;12348506;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
MONEYARD;real_estate_agent;https://www.cian.ru/sale/flat/307614447/;Московская область;sale;flat;11;18;2;47.52;12600000;Крюково;проспект Георгиевский;37к1;Зеленоград — Крюково;Жемчужина Зеленограда
